idx,src,dst,time,dst_idx,ext_roll
952,54,154,23,29,0
953,6,103,23,38,0
954,7,147,23,31,0
955,7,104,23,36,0
956,8,105,23,39,0
957,9,106,23,43,0
958,10,107,23,46,0
959,48,148,23,59,0
960,40,138,23,65,0
961,12,109,23,68,0
962,14,111,23,71,0
963,15,112,23,70,0
964,16,113,23,83,0
965,17,114,23,89,0
966,18,115,23,88,0
967,19,116,23,99,0
968,74,167,23,112,0
969,20,117,23,119,0
970,21,118,23,125,0
971,22,119,23,131,0
972,43,141,23,129,0
973,24,121,23,140,0
974,25,122,23,138,0
975,26,123,23,136,0
976,27,124,23,158,0
977,28,125,23,170,0
978,29,126,23,171,0
979,30,127,23,182,0
980,31,128,23,178,0
981,32,129,23,191,0
982,33,130,23,194,0
983,52,152,23,192,0
984,56,156,23,193,0
985,34,131,23,198,0
986,75,132,23,199,0
987,35,133,23,209,0
988,46,144,23,206,0
989,70,134,23,212,0
990,37,135,23,27,0
991,37,145,23,32,0
992,0,97,24,5,0
993,38,136,24,8,0
994,2,99,24,15,0
995,4,101,24,30,0
996,5,102,24,25,0
997,6,103,24,38,0
998,7,104,24,36,0
999,8,105,24,39,0
1000,9,106,24,43,0
1001,10,107,24,46,0
1002,11,108,24,48,0
1003,48,148,24,59,0
1004,40,138,24,65,0
1005,12,109,24,68,0
1006,14,111,24,71,0
1007,15,112,24,70,0
1008,16,113,24,83,0
1009,17,114,24,89,0
1010,18,115,24,88,0
1011,19,116,24,99,0
1012,20,117,24,119,0
1013,22,119,24,131,0
1014,23,120,24,124,0
1015,24,121,24,140,0
1016,25,122,24,138,0
1017,26,123,24,136,0
1018,27,124,24,158,0
1019,44,142,24,159,0
1020,28,125,24,170,0
1021,29,126,24,171,0
1022,31,128,24,178,0
1023,32,129,24,191,0
1024,33,130,24,194,0
1025,34,131,24,198,0
1026,37,135,24,27,0
1027,37,145,24,32,0
1028,0,97,25,5,0
1029,53,153,25,6,0
1030,38,136,25,8,0
1031,1,98,25,17,0
1032,76,168,25,22,0
1033,4,168,25,22,0
1034,4,101,25,30,0
1035,6,103,25,38,0
1036,7,104,25,36,0
1037,39,137,25,33,0
1038,57,157,25,34,0
1039,8,105,25,39,0
1040,9,106,25,43,0
1041,10,107,25,46,0
1042,11,108,25,48,0
1043,48,148,25,59,0
1044,62,160,25,57,0
1045,12,109,25,68,0
1046,14,111,25,71,0
1047,15,112,25,70,0
1048,77,169,25,76,0
1049,16,113,25,83,0
1050,17,114,25,89,0
1051,18,115,25,88,0
1052,19,116,25,99,0
1053,74,167,25,112,0
1054,20,117,25,119,0
1055,78,158,25,115,0
1056,21,118,25,125,0
1057,22,119,25,131,0
1058,23,120,25,124,0
1059,43,141,25,129,0
1060,24,121,25,140,0
1061,25,122,25,138,0
1062,27,124,25,158,0
1063,79,170,25,160,0
1064,28,125,25,170,0
1065,29,126,25,171,0
1066,30,127,25,182,0
1067,45,143,25,180,0
1068,32,129,25,191,0
1069,33,130,25,194,0
1070,52,152,25,192,0
1071,34,131,25,198,0
1072,35,132,25,199,0
1073,35,133,25,209,0
1074,46,144,25,206,0
1075,37,135,25,27,0
1076,37,145,25,32,0
1077,0,97,26,5,0
1078,38,136,26,8,0
1079,2,99,26,15,0
1080,47,146,26,21,0
1081,54,154,26,29,0
1082,5,102,26,25,0
1083,6,103,26,38,0
1084,7,104,26,36,0
1085,39,137,26,33,0
1086,9,106,26,43,0
1087,10,107,26,46,0
1088,11,108,26,48,0
1089,48,148,26,59,0
1090,62,160,26,57,0
1091,40,138,26,65,0
1092,14,111,26,71,0
1093,15,112,26,70,0
1094,16,113,26,83,0
1095,17,114,26,89,0
1096,18,115,26,88,0
1097,41,139,26,101,0
1098,19,116,26,99,0
1099,20,117,26,119,0
1100,21,118,26,125,0
1101,22,119,26,131,0
1102,23,120,26,124,0
1103,43,141,26,129,0
1104,24,121,26,140,0
1105,25,122,26,138,0
1106,50,150,26,141,0
1107,44,142,26,159,0
1108,28,125,26,170,0
1109,29,126,26,171,0
1110,30,127,26,182,0
1111,32,129,26,191,0
1112,33,130,26,194,0
1113,52,152,26,192,0
1114,56,156,26,193,0
1115,34,131,26,198,0
1116,37,135,26,27,0
1117,0,97,27,5,0
1118,2,99,27,15,0
1119,4,101,27,30,0
1120,54,154,27,29,0
1121,5,102,27,25,0
1122,8,105,27,39,0
1123,9,106,27,43,0
1124,10,107,27,46,0
1125,11,108,27,48,0
1126,48,148,27,59,0
1127,40,138,27,65,0
1128,12,109,27,68,0
1129,13,110,27,69,0
1130,14,111,27,71,0
1131,15,112,27,70,0
1132,16,113,27,83,0
1133,17,114,27,89,0
1134,18,115,27,88,0
1135,19,116,27,99,0
